time,ax,ay,az,wx,wy,wz
2022-02-17 5:48:17.2760 p.m.,-0.25,-3.61,-1.28,0.21,0.3,-0.2
2022-02-17 5:48:17.2860 p.m.,-0.35,-2.82,-1.44,0.67,-0.27,-0.26
2022-02-17 5:48:17.2960 p.m.,-0.3,-2.18,-0.87,0.6,-0.77,-0.68
2022-02-17 5:48:17.3060 p.m.,-1.08,1.15,0.42,0.35,-1.26,-1.23
2022-02-17 5:48:17.3160 p.m.,-1.08,1.15,0.42,0.35,-1.26,-1.23
2022-02-17 5:48:17.3260 p.m.,-0.83,0.94,0.35,-0.22,-2.17,-2.32
2022-02-17 5:48:17.3360 p.m.,-0.72,0.69,-0.01,-0.43,-2.58,-2.66
2022-02-17 5:48:17.3460 p.m.,-0.54,1.23,-0.06,-0.31,-1.77,-2.72
2022-02-17 5:48:17.3560 p.m.,-1.24,1.48,-2.21,0.54,1.62,-2.17
2022-02-17 5:48:17.3660 p.m.,-1.24,1.48,-2.21,0.66,1.64,-2.14
2022-02-17 5:48:17.3760 p.m.,-1.05,-0.45,1.54,0.51,1.51,-2.28
2022-02-17 5:48:17.3860 p.m.,0.14,1.64,2.7,0.34,1.44,-2.33
2022-02-17 5:48:17.3960 p.m.,0.69,2.49,-0.52,0.22,1.38,-2.2
2022-02-17 5:48:17.4080 p.m.,0.79,2.68,-0.29,0.15,1.22,-2.0
2022-02-17 5:48:17.4160 p.m.,0.81,2.38,0.85,0.0,0.8,-1.85
2022-02-17 5:48:17.4260 p.m.,0.81,2.38,0.85,-0.26,0.58,-1.72
2022-02-17 5:48:17.4370 p.m.,0.74,1.74,1.55,-0.26,0.58,-1.72
2022-02-17 5:48:17.4460 p.m.,0.91,1.94,0.61,-0.61,0.28,-1.51
2022-02-17 5:48:17.4570 p.m.,1.21,2.23,0.06,-0.58,0.15,-1.41
2022-02-17 5:48:17.4670 p.m.,1.67,2.35,0.04,-0.58,0.15,-1.242103934288025
2022-02-17 5:48:17.4770 p.m.,2.72,3.06,-0.31,-0.23,0.18,-1.08
2022-02-17 5:48:17.4870 p.m.,2.72,3.06,-0.31,-0.12,0.25,-0.96
2022-02-17 5:48:17.4970 p.m.,2.5,2.52,-0.09,-0.09,0.38,-0.88
2022-02-17 5:48:17.5070 p.m.,1.34,2.2,-0.14,-0.11,0.47,-0.85
2022-02-17 5:48:17.5170 p.m.,1.34,2.2,-0.14,-0.21,0.31,-0.81
2022-02-17 5:48:17.5270 p.m.,1.08,2.37,0.72,-0.33,0.17,-0.73
2022-02-17 5:48:17.5370 p.m.,1.08,2.37,0.72,-0.33,0.17,-0.73
2022-02-17 5:48:17.5470 p.m.,1.24,2.38,-0.15,-0.29,0.35,-0.51
2022-02-17 5:48:17.5570 p.m.,1.27,1.93,-1.08,-0.29,0.35,-0.51
2022-02-17 5:48:17.5670 p.m.,1.08,1.61,-0.24,-0.45,0.39,-0.31
2022-02-17 5:48:17.5770 p.m.,1.71,-0.09,0.48,-0.68,0.24,-0.41
2022-02-17 5:48:17.5870 p.m.,-0.58,0.33,2.39,-1.53,0.2,-0.71
2022-02-17 5:48:17.5970 p.m.,-0.58,0.33,2.39,-2.19,1.07,-0.76
2022-02-17 5:48:17.6070 p.m.,-0.39,2.85,0.61,-2.46,2.99,-0.7
2022-02-17 5:48:17.6170 p.m.,-0.39,2.85,0.61,-2.34,5.47,-0.66
2022-02-17 5:48:17.6270 p.m.,-0.02,2.14,-3.54,-1.76,7.65,-0.79
2022-02-17 5:48:17.6380 p.m.,-2.04,-1.7,-6.29,-0.7,9.19,-1.64
2022-02-17 5:48:17.6480 p.m.,-6.28,-12.14,-6.35,-0.88,9.41,-4.17
2022-02-17 5:48:17.6570 p.m.,-12.73,-29.34,1.31,-0.44,9.14,-6.52
2022-02-17 5:48:17.6680 p.m.,-9.94,-18.95,-0.89,-0.44,9.14,-6.52
2022-02-17 5:48:17.6790 p.m.,0.5195254030823708,0.17,-2.25,2.85,5.85,-3.66
2022-02-17 5:48:17.6870 p.m.,16.69,7.42,-2.67,3.95,4.03,0.1
2022-02-17 5:48:17.6960 p.m.,16.69,7.42,-2.67,3.95,4.03,0.1
2022-02-17 5:48:17.7060 p.m.,16.46,6.35,-1.75,3.67,2.97,1.08
2022-02-17 5:48:17.7170 p.m.,3.52,0.18,-0.24,3.13,1.75,0.15
2022-02-17 5:48:17.7270 p.m.,-3.15,-3.02,1.64,2.3,0.11,-0.62
2022-02-17 5:48:17.7380 p.m.,-4.63,-1.42,4.0,1.22,-1.28,-0.86
2022-02-17 5:48:17.7480 p.m.,-0.86,2.42,5.7,0.08,-1.98,-0.55
2022-02-17 5:48:17.7580 p.m.,-0.86,2.42,5.7,0.08,-1.98,-0.55
2022-02-17 5:48:17.7680 p.m.,1.57,1.64,4.64,-0.82,-2.1,-0.16
2022-02-17 5:48:17.7780 p.m.,1.21,-0.7,2.45,-0.68,-2.09,-0.12
