time,ax,ay,az,wx,wy,wz
2022-02-17 5:50:25.5660 p.m.,-0.22,0.52,2.51,-0.55,0.04,-0.21
2022-02-17 5:50:25.5760 p.m.,-0.48,0.21,2.76,-0.49,-0.05,-0.2
2022-02-17 5:50:25.5860 p.m.,-0.65,-0.18,2.87,-0.39,-0.2,-0.23
2022-02-17 5:50:25.5960 p.m.,-0.78,-0.65,2.88,-0.25,-0.37,-0.28
2022-02-17 5:50:25.6060 p.m.,-0.74,-0.98,2.72,-0.06,-0.51,-0.35
2022-02-17 5:50:25.6160 p.m.,-0.59,-1.11,2.25,0.14,-0.57,-0.41
2022-02-17 5:50:25.6260 p.m.,-0.45,-1.2,1.51,0.33,-0.53,-0.46
2022-02-17 5:50:25.6360 p.m.,-0.27,-1.13,0.82,0.49,-0.43,-0.48
2022-02-17 5:50:25.6460 p.m.,-0.07,-0.98,0.21,0.6,-0.3,-0.5
2022-02-17 5:50:25.6560 p.m.,0.05,-0.88,-0.28,0.67,-0.15,-0.52
2022-02-17 5:50:25.6660 p.m.,0.17,-0.82,-0.57,0.72,-0.04,-0.56
2022-02-17 5:50:25.6760 p.m.,0.18,-0.8,-0.76,0.74,0.0,-0.57
2022-02-17 5:50:25.6860 p.m.,0.16,-0.75,-0.83,0.74,0.02,-0.57
2022-02-17 5:50:25.6960 p.m.,0.14,-0.64,-0.79,0.71,0.03,-0.56
2022-02-17 5:50:25.7060 p.m.,0.13,-0.48,-0.8,0.67,0.03,-0.53
2022-02-17 5:50:25.7160 p.m.,0.17,-0.38,-0.88,0.61,0.05,-0.48
2022-02-17 5:50:25.7260 p.m.,0.15,-0.33,-0.95,0.53,0.09,-0.42
2022-02-17 5:50:25.7370 p.m.,0.11,-0.24,-0.97,0.46,0.15,-0.34
2022-02-17 5:50:25.7460 p.m.,0.11,-0.16,-1.0,0.37,0.2,-0.26
2022-02-17 5:50:25.7560 p.m.,0.11,-0.16,-0.95,0.26,0.21,-0.19
2022-02-17 5:50:25.7660 p.m.,0.08,-0.22,-0.75,0.14,0.17,-0.13
2022-02-17 5:50:25.7760 p.m.,-0.04,-0.36,-0.48,0.06,0.09,-0.07
2022-02-17 5:50:25.7870 p.m.,-0.1,-0.47,-0.27,0.03,-0.03,-0.02
2022-02-17 5:50:25.7970 p.m.,-0.16,-0.6,-0.17,0.03,-0.15,0.02
2022-02-17 5:50:25.8070 p.m.,-0.24,-0.76,-0.26,0.04,-0.21,0.04
